topic,s,regdate,regdate-display,msg.commander,msg.sender,msg.ceramic_state.h-position,msg.information.serial_no,msg.information.iotm_fw_ver,msg.information.machine_fw_ver,msg.information.machine_no,msg.ceramic_state.curr_pinpoint,msg.stomach_pad.curr-temperature,msg.ceramic_state.dest_pinpoint,msg.ceramic_state.elapsed_time,msg.ceramic_state.v-position,msg.sub_state.curr-temperature,msg.ext1_state.curr-temperature,msg.base_state.curr-temperature,msg.ceramic_state.curr-temperature,msg.ceramic_state.state,msg.sub_state.play,msg.sub_state.mode,msg.sub_state.force,msg.music.play,msg.music.music_no,msg.timesync,msg.command_no,msg.refresh,msg.alpha_state.curr-temperature,msg.alpha_state.temperature,msg.information.firmware_ver,msg.reply.commander,msg.reply.activated,msg.reply.command_no,msg.reply.power,msg.ext1_state.temperature,msg.sub_force,msg.ceramic_state.operation_time,msg.music.bluetooth_name,msg.sub_state.temperature,msg.ceramic_state.mode_index,msg.ceramic_state.mode_list,msg.base_state.power,msg.ceramic_state.spin-length,msg.sub_play,msg.ceramic_force,msg.stomach_pad.mode,msg.ceramic_state.force,msg.ceramic_state.play,msg.base_state.temperature,msg.ceramic_state.temperature,msg.sub_state.state,msg.stomach_pad.play,msg.stomach_pad.temperature,msg.stomach_pad.force,msg.music.source,msg.music.volume,msg.music.voice_guidance,msg.music.sourcelist,msg.mode_list,msg.mode_index,msg.ceramic_mode,msg.power,msg.ceramic_play,msg.stomach_play,msg.stomach_force,msg.sub_temperature,msg.alpha_temperature,msg.ext2_temperature,msg.ext1_temperature,msg.temperature,msg.stomach_temperature,msg.ceramic_temperature,msg.CCIP_PTL,msg.music_volume,msg.sub_mode,msg.music_select,"msg.music_play
"
1c9dc2653c48,3,1641713189730.0,2022-01-09 16:26:29,337133.0,1c9dc2653c48,4506.0, ,000.03.010,000.01.006.va,1.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2653c78,3,1641713412108.0,2022-01-09 16:30:12,362189.0,1c9dc2653c78,, ,000.03.010,000.03.055.BA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2653d2c,3,1641713190282.0,2022-01-09 16:26:30,336336.0,1c9dc2653d2c,3992.0, ,000.03.010,000.03.055.BA,1.0,17.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2654044,3,1641713142588.0,2022-01-09 16:25:42,378364.0,1c9dc2654044,1270.0, ,000.03.010,000.03.055.RA,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2654220,3,1641713189818.0,2022-01-09 16:26:29,357169.0,1c9dc2654220,, ,000.03.010,000.03.054.MA,1.0,,,,,,,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc26542ac,3,1641713189581.0,2022-01-09 16:26:29,359758.0,1c9dc26542ac,527.0, ,000.03.010,001.01.007.ra,1.0,1.0,,,,475.0,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2654374,3,1641713189205.0,2022-01-09 16:26:29,330824.0,1c9dc2654374,2633.0, ,000.03.010,000.03.054.MA,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc26543b4,3,1641713563714.0,2022-01-09 16:32:43,361474.0,1c9dc26543b4,6774.0, ,000.03.010,000.03.055.RA,1.0,,,,,,,,340.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc26548d8,3,1641713190299.0,2022-01-09 16:26:30,358578.0,1c9dc26548d8,2015.0, ,000.03.010,000.01.107.sa,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c9dc2654964,3,1641713191088.0,2022-01-09 16:26:31,360603.0,1c9dc2654964,4987.0, ,000.03.010,000.01.107.sa,1.0,,,,2280.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
